Date,Team,Acquired,Relinquished,Notes,Reg_games_missed,Post_games_missed,Season,Year,Game_number,Out_for_season,note_keyword,category
2013-11-15,Milwaukee Bucks,,Larry Sanders,placed on IL recovering from surgery on right thumb to repaor torn ligament,53.0,0.0,regular,2013,8.0,False,finger,hand
2013-11-15,Cleveland Cavaliers,,Dion Waiters,placed on IL with illness,70.0,0.0,regular,2013,10.0,False,sick,sick
2013-11-16,Nets,,Paul Pierce,placed on IL with groin injury,,,,,,,groin,upper leg
2013-11-16,Nets,,Kevin Garnett,placed on IL with sprained right ankle,,,,,,,ankle,lower leg
2013-11-16,Oklahoma City Thunder,,Thabo Sefolosha,placed on IL with flu,72.0,0.0,regular,2013,9.0,False,sick,sick
2013-11-16,New York Knicks,,Metta World,placed on IL with sore left knee,71.0,0.0,regular,2013,9.0,False,knee,knee
2013-11-16,New Orleans Pelicans,,Greg Stiemsma,placed on IL with sprained MCL in left knee,53.0,0.0,regular,2013,10.0,False,MCL,knee
2013-11-16,Atlanta Hawks,,Louis Williams,placed on IL,71.0,0.0,regular,2013,10.0,False,roaster move,healthy inactive
2013-11-16,Cleveland Cavaliers,,Carrick Felix,placed on IL with sports hernia,69.0,0.0,regular,2013,11.0,False,other,other
2013-11-17,Cleveland Cavaliers,,Will Bynum,placed on IL with groin injury,67.0,0.0,regular,2013,12.0,False,groin,upper leg
2013-11-17,Toronto Raptors,,Julyan Stone,placed on IL,70.0,0.0,regular,2013,11.0,False,roaster move,healthy inactive
2013-11-18,Golden State Warriors,,Jermaine ONeal,placed on IL with bruised right knee,67.0,0.0,regular,2013,11.0,False,knee,knee
2013-11-18,Nets,,Brook Lopez,placed on IL with sprained left ankle,,,,,,,ankle,lower leg
2013-11-18,Oklahoma City Thunder,,Ryan Gomes,placed on IL,70.0,0.0,regular,2013,10.0,False,roaster move,healthy inactive
2013-11-19,Miami Heat,,Dwyane Wade,placed on IL with sore left knee,69.0,0.0,regular,2013,11.0,False,knee,knee
2013-11-19,Atlanta Hawks,,Paul Millsap,placed on IL with right elbow tendinitis,70.0,0.0,regular,2013,11.0,False,elbow,arm
2013-11-20,Golden State Warriors,,Stephen Curry,placed on IL with concussion,68.0,0.0,regular,2013,12.0,False,head,head
2013-11-20,Toronto Raptors,,Aaron Gray,placed on IL,65.0,0.0,regular,2013,12.0,False,roaster move,healthy inactive
2013-11-20,Atlanta Hawks,,John Jenkins,placed on IL,69.0,0.0,regular,2013,12.0,False,roaster move,healthy inactive
2013-11-20,Cleveland Cavaliers,,Tyler Zeller,placed on IL with sprained right ankle,69.0,0.0,regular,2013,12.0,False,ankle,lower leg
2013-11-20,Utah Jazz,,Marvin Williams,placed on IL with fractured nose (surgery),68.0,0.0,regular,2013,13.0,False,nose,head
2013-11-21,Chicago Bulls,,Jimmy Butler,placed on IL with turf toe,61.0,0.0,regular,2013,10.0,False,toe,foot
2013-11-22,Toronto Raptors,,Quincy Acy,placed on IL with sprained right ankle,67.0,0.0,regular,2013,13.0,False,ankle,lower leg
