Date,Team,Relinquished,Notes,reg_games_missed,post_games_missed,Season,Year,Game_number,Out_for_Season,note_keyword,category
2013-11-19,Phoenix Suns,Eric Bledsoe,bruised shin (DNP),1.0,0.0,regular,2013,10,,shin,lower leg
2013-11-19,Minnesota Timberwolves,Shabazz Muhammad,sprained right ankle (DNP),1.0,0.0,regular,2013,12,,ankle,lower leg
2013-11-19,Houston Rockets,Greg Smith,sprained right knee (DNP),1.0,0.0,regular,2013,12,,knee,knee
2013-11-19,New York Knicks,Raymond Felton,pinched nerve in left hip (DNP),1.0,0.0,regular,2013,10,,hip,upper leg
2013-11-19,Houston Rockets,Ronnie Brewer,strained right calf (DNP),1.0,0.0,regular,2013,12,,calf,lower leg
2013-11-20,Toronto Raptors,Quincy Acy,sprained right ankle (DNP),1.0,0.0,regular,2013,12,,ankle,lower leg
2013-11-20,Washington Wizards,Trevor Ariza,strained right hamstring (DNP),1.0,0.0,regular,2013,11,,hamstring,upper leg
2013-11-20,Minnesota Timberwolves,Shabazz Muhammad,sprained right ankle (DNP),1.0,0.0,regular,2013,13,,ankle,lower leg
2013-11-20,Houston Rockets,Ronnie Brewer,strained right calf (DNP),1.0,0.0,regular,2013,13,,calf,lower leg
2013-11-20,Houston Rockets,Greg Smith,sprained right knee (DNP),1.0,0.0,regular,2013,13,,knee,knee
2013-11-20,Detroit Pistons,Charlie Villanueva,sore back (DNP),1.0,0.0,regular,2013,11,,back,torso
2013-11-20,Orlando Magic,Kyle OQuinn,sprained right ankle (DNP),1.0,0.0,regular,2013,11,,ankle,lower leg
2013-11-20,Orlando Magic,Tobias Harris,sprained left ankle (DNP),1.0,0.0,regular,2013,11,,ankle,lower leg
2013-11-20,New York Knicks,Raymond Felton,pinched nerve in left hip (DNP),1.0,0.0,regular,2013,11,,hip,upper leg
2013-11-20,Los Angeles Clippers,Matt Barnes,bruised left eye (DNP),1.0,0.0,regular,2013,12,,eye,head
2013-11-20,Boston Celtics,Keith Bogans,illness (DNP),1.0,0.0,regular,2013,13,,sick,sick
2013-11-20,Dallas Mavericks,Wayne Ellington,bruised right thigh (DNP),1.0,0.0,regular,2013,12,,quad,upper leg
2013-11-21,Los Angeles Clippers,Matt Barnes,bruised left eye (DNP),1.0,0.0,regular,2013,13,,eye,head
2013-11-21,Los Angeles Clippers,Matt Barnes,surgery on left eye to repair torn retina (out indefinitely),1.0,0.0,regular,2013,13,,eye,head
2013-11-22,Detroit Pistons,Charlie Villanueva,sore back (DNP),1.0,0.0,regular,2013,12,,back,torso
2013-11-22,Golden State Warriors,Ognjen Kuzmic,fractured right hand (DNP),1.0,0.0,regular,2013,13,,hand,hand
2013-11-22,Minnesota Timberwolves,Shabazz Muhammad,sprained right ankle (DNP),1.0,0.0,regular,2013,14,,ankle,lower leg
2013-11-22,Indiana Pacers,CJ Watson,upper respiratory infection (DNP),1.0,0.0,regular,2013,12,,sick,sick
2013-11-22,Washington Wizards,Trevor Ariza,strained right hamstring (DNP),1.0,0.0,regular,2013,12,,hamstring,upper leg
2013-11-22,Nets,Deron Williams,sprained left ankle (DNP),0.0,0.0,off,,,,ankle,lower leg
2013-11-22,Los Angeles Lakers,Chris Kaman,sore back (DNP),1.0,0.0,regular,2013,13,,back,torso
2013-11-22,Boston Celtics,Keith Bogans,illness (DNP),1.0,0.0,regular,2013,14,,sick,sick
2013-11-22,Milwaukee Bucks,Brandon Knight,sore right hamstring (DNP),1.0,0.0,regular,2013,11,,hamstring,upper leg
2013-11-22,Nets,Jason Terry,knee injury (DTD),0.0,0.0,off,,,,knee,knee
2013-11-23,Washington Wizards,Al Harrington,sore right knee (DNP),1.0,0.0,regular,2013,13,,knee,knee
2013-11-23,Minnesota Timberwolves,Shabazz Muhammad,sprained right ankle (DNP),1.0,0.0,regular,2013,15,,ankle,lower leg
2013-11-23,Houston Rockets,Ronnie Brewer,strained right calf (DNP),1.0,0.0,regular,2013,14,,calf,lower leg
2013-11-23,Houston Rockets,James Harden,sore left foot (DNP),1.0,0.0,regular,2013,14,,foot,foot
