Date,Team,Player,Notes,reg_games_missed,post_games_missed,Season,Year,Game_number,Out_for_Season,note_keyword,category,Acquired,Reg_games_missed,Post_games_missed,Out_for_season,Pos,Age,G,GS,MPPG,TGP_prior_seasons,TMP_current_season,TMP_prior_seasons
2019-03-08,Utah Jazz,Ricky Rubio,placed on IL with hip injury,,,regular,2018.0,65,,hip,upper leg,,15.0,0.0,False,PG,28.0,68.0,67.0,27.9,395.0,1897.2,12256.7
2019-03-08,Charlotte Hornets,Bismack Biyombo,placed on IL with sprained left knee,,,regular,2018.0,65,,knee,knee,,16.0,0.0,False,C,26.0,54.0,32.0,14.5,489.0,783.0,10136.4
2019-03-08,Cleveland Cavaliers,Matthew Dellavedova,placed on IL with concussion (out for season),,,regular,2018.0,66,,head,head,,75.0,0.0,False,PG,28.0,48.0,0.0,16.9,381.0,811.1999999999999,8195.400000000001
2019-03-09,Los Angeles Lakers,Brandon Ingram,placed on IL with blood clot in right arm (out for season),,,regular,2018.0,66,,arm,arm,,30.0,0.0,False,SF,21.0,52.0,52.0,33.8,138.0,1757.6,4251.700000000001
2019-03-09,Charlotte Hornets,Michael Kidd-Gilchrist,placed on IL with strained left knee,,,regular,2018.0,66,,knee,knee,,14.0,0.0,False,PF,25.0,64.0,3.0,18.4,361.0,1177.6,9613.2
2019-03-09,Charlotte Hornets,Tony Parker,placed on IL,,,regular,2018.0,66,,roaster move,healthy inactive,,14.0,0.0,False,PG,36.0,56.0,0.0,17.9,466.0,1002.4,12998.8
2019-03-09,Atlanta Hawks,Alex Poythress,placed on IL with sprained right ankle (out for season),,,regular,2018.0,67,,ankle,lower leg,,15.0,0.0,False,PF,25.0,21.0,1.0,14.5,31.0,304.5,262.20000000000005
2019-03-09,Portland Trailblazers,Gary Trent,placed on IL,,,,,-1,,roaster move,healthy inactive,,,,,Unknown,,,,,,,
2019-03-09,Portland Trailblazers,Evan Turner,placed on IL with left knee injury,,,,,-1,,knee,knee,,,,,Unknown,,,,,,,
2019-03-10,Minnesota Timberwolves,Karl-Anthony Towns,placed on IL with right knee inflammation,,,regular,2018.0,67,,knee,knee,,14.0,0.0,False,C,23.0,77.0,77.0,33.1,251.0,2548.7000000000003,8747.2
2019-03-10,Minnesota Timberwolves,Andrew Wiggins,placed on IL with bruised left quadricep,,,regular,2018.0,67,,quad,upper leg,,13.0,0.0,False,SF,23.0,73.0,73.0,34.8,332.0,2540.3999999999996,12002.5
2019-03-10,San Antonio Spurs,Rudy Gay,placed on IL with illness,,,regular,2018.0,67,,sick,sick,,13.0,0.0,False,PF,32.0,69.0,51.0,26.7,378.0,1842.3,12410.5
2019-03-10,Detroit Pistons,Bruce Brown,placed on IL with sprained right ankle,,,regular,2018.0,65,,ankle,lower leg,,16.0,0.0,False,SG,22.0,74.0,56.0,19.6,0.0,1450.4,0.0
2019-03-10,New Orleans Pelicans,ETwaun Moore,placed on IL with bruised left quadricep (out for season),,,regular,2018.0,69,,quad,upper leg,,25.0,0.0,False,Unknown,,,,,,,
2019-03-10,Indiana Pacers,Tyreke Evans,placed on IL with illness,,,regular,2018.0,67,,sick,sick,,12.0,0.0,False,SG,29.0,69.0,18.0,20.3,337.0,1400.7,10024.3
