Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
Atlanta Hawks,2014,regular,75,2015-03-31,1.0,Detroit Pistons,
Atlanta Hawks,2014,regular,76,2015-04-04,,Brooklyn Nets,
Atlanta Hawks,2014,regular,77,2015-04-07,,Phoenix Suns,
Atlanta Hawks,2014,regular,78,2015-04-08,1.0,Brooklyn Nets,
Atlanta Hawks,2014,regular,79,2015-04-10,,Charlotte Hornets,
Atlanta Hawks,2014,regular,80,2015-04-12,1.0,Washington Wizards,
Atlanta Hawks,2014,regular,81,2015-04-13,,New York Knicks,
Atlanta Hawks,2014,regular,82,2015-04-15,1.0,Chicago Bulls,
Atlanta Hawks,2014,post,83,2015-04-19,,Brooklyn Nets,
Atlanta Hawks,2014,post,84,2015-04-22,,Brooklyn Nets,
Atlanta Hawks,2014,post,85,2015-04-25,1.0,Brooklyn Nets,
Atlanta Hawks,2014,post,86,2015-04-27,1.0,Brooklyn Nets,OT
Atlanta Hawks,2014,post,87,2015-04-29,,Brooklyn Nets,
Atlanta Hawks,2014,post,88,2015-05-01,1.0,Brooklyn Nets,
Atlanta Hawks,2014,post,89,2015-05-03,,Washington Wizards,
Atlanta Hawks,2014,post,90,2015-05-05,,Washington Wizards,
Atlanta Hawks,2014,post,91,2015-05-09,1.0,Washington Wizards,
Atlanta Hawks,2014,post,92,2015-05-11,1.0,Washington Wizards,
Atlanta Hawks,2014,post,93,2015-05-13,,Washington Wizards,
Atlanta Hawks,2014,post,94,2015-05-15,1.0,Washington Wizards,
Atlanta Hawks,2014,post,95,2015-05-20,,Cleveland Cavaliers,
Atlanta Hawks,2014,post,96,2015-05-22,,Cleveland Cavaliers,
Atlanta Hawks,2014,post,97,2015-05-24,1.0,Cleveland Cavaliers,OT
Atlanta Hawks,2014,post,98,2015-05-26,1.0,Cleveland Cavaliers,
Atlanta Hawks,2015,regular,1,2015-10-27,,Detroit Pistons,
Atlanta Hawks,2015,regular,2,2015-10-29,1.0,New York Knicks,
Atlanta Hawks,2015,regular,3,2015-10-30,,Charlotte Hornets,
Atlanta Hawks,2015,regular,4,2015-11-01,1.0,Charlotte Hornets,
Atlanta Hawks,2015,regular,5,2015-11-03,1.0,Miami Heat,
Atlanta Hawks,2015,regular,6,2015-11-04,,Brooklyn Nets,
Atlanta Hawks,2015,regular,7,2015-11-06,1.0,New Orleans Pelicans,
Atlanta Hawks,2015,regular,8,2015-11-07,,Washington Wizards,
Atlanta Hawks,2015,regular,9,2015-11-09,,Minnesota Timberwolves,
Atlanta Hawks,2015,regular,10,2015-11-11,,New Orleans Pelicans,
Atlanta Hawks,2015,regular,11,2015-11-13,1.0,Boston Celtics,
Atlanta Hawks,2015,regular,12,2015-11-15,,Utah Jazz,
Atlanta Hawks,2015,regular,13,2015-11-17,1.0,Brooklyn Nets,
Atlanta Hawks,2015,regular,14,2015-11-18,,Sacramento Kings,
Atlanta Hawks,2015,regular,15,2015-11-21,1.0,Cleveland Cavaliers,
Atlanta Hawks,2015,regular,16,2015-11-24,,Boston Celtics,
Atlanta Hawks,2015,regular,17,2015-11-25,1.0,Minnesota Timberwolves,
Atlanta Hawks,2015,regular,18,2015-11-27,1.0,Memphis Grizzlies,
Atlanta Hawks,2015,regular,19,2015-11-28,1.0,San Antonio Spurs,
Atlanta Hawks,2015,regular,20,2015-11-30,,Oklahoma City Thunder,
Atlanta Hawks,2015,regular,21,2015-12-02,,Toronto Raptors,
Atlanta Hawks,2015,regular,22,2015-12-04,,Los Angeles Lakers,
Atlanta Hawks,2015,regular,23,2015-12-09,1.0,Dallas Mavericks,
Atlanta Hawks,2015,regular,24,2015-12-10,1.0,Oklahoma City Thunder,
Atlanta Hawks,2015,regular,25,2015-12-12,,San Antonio Spurs,
Atlanta Hawks,2015,regular,26,2015-12-14,,Miami Heat,
Atlanta Hawks,2015,regular,27,2015-12-16,,Philadelphia 76ers,
Atlanta Hawks,2015,regular,28,2015-12-18,1.0,Boston Celtics,
Atlanta Hawks,2015,regular,29,2015-12-20,1.0,Orlando Magic,
Atlanta Hawks,2015,regular,30,2015-12-21,,Portland Trail Blazers,
Atlanta Hawks,2015,regular,31,2015-12-23,,Detroit Pistons,
Atlanta Hawks,2015,regular,32,2015-12-26,,New York Knicks,
Atlanta Hawks,2015,regular,33,2015-12-28,1.0,Indiana Pacers,
Atlanta Hawks,2015,regular,34,2015-12-29,1.0,Houston Rockets,
Atlanta Hawks,2015,regular,35,2016-01-03,1.0,New York Knicks,
Atlanta Hawks,2015,regular,36,2016-01-05,,New York Knicks,
Atlanta Hawks,2015,regular,37,2016-01-07,1.0,Philadelphia 76ers,
Atlanta Hawks,2015,regular,38,2016-01-09,,Chicago Bulls,
Atlanta Hawks,2015,regular,39,2016-01-13,1.0,Charlotte Hornets,
Atlanta Hawks,2015,regular,40,2016-01-15,1.0,Milwaukee Bucks,OT
Atlanta Hawks,2015,regular,41,2016-01-16,,Brooklyn Nets,
Atlanta Hawks,2015,regular,42,2016-01-18,,Orlando Magic,
Atlanta Hawks,2015,regular,43,2016-01-20,1.0,Portland Trail Blazers,
Atlanta Hawks,2015,regular,44,2016-01-21,1.0,Sacramento Kings,
Atlanta Hawks,2015,regular,45,2016-01-23,1.0,Phoenix Suns,
Atlanta Hawks,2015,regular,46,2016-01-25,1.0,Denver Nuggets,
Atlanta Hawks,2015,regular,47,2016-01-27,,Los Angeles Clippers,
Atlanta Hawks,2015,regular,48,2016-01-28,1.0,Indiana Pacers,
Atlanta Hawks,2015,regular,49,2016-01-31,1.0,Miami Heat,
Atlanta Hawks,2015,regular,50,2016-02-01,,Dallas Mavericks,
Atlanta Hawks,2015,regular,51,2016-02-03,1.0,Philadelphia 76ers,
Atlanta Hawks,2015,regular,52,2016-02-05,,Indiana Pacers,
Atlanta Hawks,2015,regular,53,2016-02-07,1.0,Orlando Magic,
Atlanta Hawks,2015,regular,54,2016-02-08,,Orlando Magic,OT
Atlanta Hawks,2015,regular,55,2016-02-10,1.0,Chicago Bulls,
Atlanta Hawks,2015,regular,56,2016-02-19,,Miami Heat,
Atlanta Hawks,2015,regular,57,2016-02-20,,Milwaukee Bucks,2OT
Atlanta Hawks,2015,regular,58,2016-02-22,,Golden State Warriors,
Atlanta Hawks,2015,regular,59,2016-02-26,,Chicago Bulls,
Atlanta Hawks,2015,regular,60,2016-02-28,,Charlotte Hornets,
Atlanta Hawks,2015,regular,61,2016-03-01,1.0,Golden State Warriors,OT
Atlanta Hawks,2015,regular,62,2016-03-04,1.0,Los Angeles Lakers,
Atlanta Hawks,2015,regular,63,2016-03-05,1.0,Los Angeles Clippers,
Atlanta Hawks,2015,regular,64,2016-03-08,1.0,Utah Jazz,
Atlanta Hawks,2015,regular,65,2016-03-10,1.0,Toronto Raptors,
Atlanta Hawks,2015,regular,66,2016-03-12,,Memphis Grizzlies,
Atlanta Hawks,2015,regular,67,2016-03-13,,Indiana Pacers,
Atlanta Hawks,2015,regular,68,2016-03-16,1.0,Detroit Pistons,
Atlanta Hawks,2015,regular,69,2016-03-17,,Denver Nuggets,
Atlanta Hawks,2015,regular,70,2016-03-19,,Houston Rockets,
Atlanta Hawks,2015,regular,71,2016-03-21,,Washington Wizards,
Atlanta Hawks,2015,regular,72,2016-03-23,1.0,Washington Wizards,
Atlanta Hawks,2015,regular,73,2016-03-25,,Milwaukee Bucks,
Atlanta Hawks,2015,regular,74,2016-03-26,1.0,Detroit Pistons,
Atlanta Hawks,2015,regular,75,2016-03-28,1.0,Chicago Bulls,
Atlanta Hawks,2015,regular,76,2016-03-30,1.0,Toronto Raptors,
Atlanta Hawks,2015,regular,77,2016-04-01,,Cleveland Cavaliers,OT
Atlanta Hawks,2015,regular,78,2016-04-05,,Phoenix Suns,
Atlanta Hawks,2015,regular,79,2016-04-07,,Toronto Raptors,
Atlanta Hawks,2015,regular,80,2016-04-09,,Boston Celtics,
Atlanta Hawks,2015,regular,81,2016-04-11,1.0,Cleveland Cavaliers,
Atlanta Hawks,2015,regular,82,2016-04-13,1.0,Washington Wizards,
Atlanta Hawks,2015,post,83,2016-04-16,,Boston Celtics,
Atlanta Hawks,2015,post,84,2016-04-19,,Boston Celtics,
Atlanta Hawks,2015,post,85,2016-04-22,1.0,Boston Celtics,
Atlanta Hawks,2015,post,86,2016-04-24,1.0,Boston Celtics,OT
Atlanta Hawks,2015,post,87,2016-04-26,,Boston Celtics,
Atlanta Hawks,2015,post,88,2016-04-28,1.0,Boston Celtics,
Atlanta Hawks,2015,post,89,2016-05-02,1.0,Cleveland Cavaliers,
