Year,Season,Player,Pos,Age,Team,G,GS,MPPG,TGP_prior_seasons,TMP_current_season,TMP_prior_seasons
2012,regular,Omer Asık,C,26,Houston Rockets,82,82,30.0,0.0,2460.0,0.0
2012,regular,D.J. Augustin,PG,25,Indiana Pacers,76,5,16.1,0.0,1223.6000000000001,0.0
2012,regular,Gustavo Ayon,C,27,TOT,55,3,13.3,0.0,731.5,0.0
2012,regular,Jeff Ayres,PF,25,Indiana Pacers,37,0,10.0,0.0,370.0,0.0
2012,regular,Luke Babbitt,PF,23,Portland Trailblazers,62,0,11.8,0.0,731.6,0.0
2012,regular,Leandro Barbosa,PG,30,Boston Celtics,41,2,12.5,0.0,512.5,0.0
2012,regular,J.J. Barea,PG,28,Minnesota Timberwolves,74,2,23.1,0.0,1709.4,0.0
2012,regular,Andrea Bargnani,PF,27,Toronto Raptors,35,25,28.7,0.0,1004.5,0.0
2012,regular,Harrison Barnes,SF,20,Golden State Warriors,81,81,25.4,0.0,2057.4,0.0
2012,regular,Matt Barnes,SF,32,Los Angeles Clippers,80,4,25.7,0.0,2056.0,0.0
2012,regular,Earl Barron,C,31,TOT,12,2,13.3,0.0,159.60000000000002,0.0
2012,regular,Will Barton,SG,22,Portland Trailblazers,73,5,12.2,0.0,890.5999999999999,0.0
2012,regular,Brandon Bass,PF,27,Boston Celtics,81,69,27.6,0.0,2235.6,0.0
2012,regular,Shane Battier,SF,34,Miami Heat,72,20,24.8,0.0,1785.6000000000001,0.0
2012,regular,Nicolas Batum,SF,24,Portland Trailblazers,73,73,38.5,0.0,2810.5,0.0
2012,regular,Jerryd Bayless,PG,24,Memphis Grizzlies,80,4,22.1,0.0,1768.0,0.0
2012,regular,Aron Baynes,C,26,San Antonio Spurs,16,0,8.8,0.0,140.8,0.0
2012,regular,Kent Bazemore,SG,23,Golden State Warriors,61,0,4.4,0.0,268.40000000000003,0.0
2012,regular,Bradley Beal,SG,19,Washington Wizards,56,46,31.2,0.0,1747.2,0.0
2012,regular,Michael Beasley,SF,24,Phoenix Suns,75,20,20.7,0.0,1552.5,0.0
2012,regular,Rodrigue Beaubois,PG,24,Dallas Mavericks,45,0,12.2,0.0,549.0,0.0
2012,regular,Marco Belinelli,SG,26,Chicago Bulls,73,27,25.8,0.0,1883.4,0.0
2012,regular,Patrick Beverley,PG,24,Houston Rockets,41,0,17.4,0.0,713.4,0.0
2012,regular,Andris Biedrins,C,26,Golden State Warriors,53,9,9.3,0.0,492.90000000000003,0.0
2012,regular,Chauncey Billups,SG,36,Los Angeles Clippers,22,22,19.0,0.0,418.0,0.0
2012,regular,Bismack Biyombo,C,20,Charlotte Bobcats,80,65,27.3,0.0,2184.0,0.0
2012,regular,DeJuan Blair,PF,23,San Antonio Spurs,61,16,14.0,0.0,854.0,0.0
2012,regular,Steve Blake,PG,32,Los Angeles Lakers,45,13,26.1,0.0,1174.5,0.0
2012,regular,Andray Blatche,C,26,Brooklyn Nets,82,8,19.0,0.0,1558.0,0.0
2012,regular,Eric Bledsoe,PG,23,Los Angeles Clippers,76,12,20.4,0.0,1550.3999999999999,0.0
2012,regular,Keith Bogans,SG,32,Brooklyn Nets,74,23,19.0,0.0,1406.0,0.0
2012,regular,Andrew Bogut,C,28,Golden State Warriors,32,32,24.6,0.0,787.2,0.0
2012,regular,Matt Bonner,PF,32,San Antonio Spurs,68,4,13.4,0.0,911.2,0.0
2012,regular,Trevor Booker,PF,25,Washington Wizards,48,14,18.5,0.0,888.0,0.0
2012,regular,Carlos Boozer,PF,31,Chicago Bulls,79,79,32.2,0.0,2543.8,0.0
2012,regular,Chris Bosh,C,28,Miami Heat,74,74,33.2,0.0,2456.8,0.0
2012,regular,Avery Bradley,PG,22,Boston Celtics,50,50,28.7,0.0,1435.0,0.0
2012,regular,Elton Brand,C,33,Dallas Mavericks,72,18,21.2,0.0,1526.3999999999999,0.0
2012,regular,Corey Brewer,SF,26,Denver Nuggets,82,2,24.4,0.0,2000.8,0.0
2012,regular,Ronnie Brewer,SF,27,TOT,60,34,14.2,0.0,852.0,0.0
2012,regular,Aaron Brooks,PG,28,TOT,53,20,18.8,0.0,996.4000000000001,0.0
2012,regular,MarShon Brooks,SG,24,Brooklyn Nets,73,2,12.5,0.0,912.5,0.0
