,Team,Year,Game_num,Date,Away_flag,Opponent,OT_flag
294,Atlanta Hawks,2015,20,"Mon, Nov 30, 2015",,Oklahoma City Thunder,
295,Atlanta Hawks,2015,21,"Wed, Dec 2, 2015",,Toronto Raptors,
296,Atlanta Hawks,2015,22,"Fri, Dec 4, 2015",,Los Angeles Lakers,
297,Atlanta Hawks,2015,23,"Wed, Dec 9, 2015",@,Dallas Mavericks,
298,Atlanta Hawks,2015,24,"Thu, Dec 10, 2015",@,Oklahoma City Thunder,
299,Atlanta Hawks,2015,25,"Sat, Dec 12, 2015",,San Antonio Spurs,
300,Atlanta Hawks,2015,26,"Mon, Dec 14, 2015",,Miami Heat,
301,Atlanta Hawks,2015,27,"Wed, Dec 16, 2015",,Philadelphia 76ers,
302,Atlanta Hawks,2015,28,"Fri, Dec 18, 2015",@,Boston Celtics,
303,Atlanta Hawks,2015,29,"Sun, Dec 20, 2015",@,Orlando Magic,
304,Atlanta Hawks,2015,30,"Mon, Dec 21, 2015",,Portland Trail Blazers,
305,Atlanta Hawks,2015,31,"Wed, Dec 23, 2015",,Detroit Pistons,
306,Atlanta Hawks,2015,32,"Sat, Dec 26, 2015",,New York Knicks,
307,Atlanta Hawks,2015,33,"Mon, Dec 28, 2015",@,Indiana Pacers,
308,Atlanta Hawks,2015,34,"Tue, Dec 29, 2015",@,Houston Rockets,
309,Atlanta Hawks,2015,35,"Sun, Jan 3, 2016",@,New York Knicks,
310,Atlanta Hawks,2015,36,"Tue, Jan 5, 2016",,New York Knicks,
311,Atlanta Hawks,2015,37,"Thu, Jan 7, 2016",@,Philadelphia 76ers,
312,Atlanta Hawks,2015,38,"Sat, Jan 9, 2016",,Chicago Bulls,
313,Atlanta Hawks,2015,39,"Wed, Jan 13, 2016",@,Charlotte Hornets,
314,Atlanta Hawks,2015,40,"Fri, Jan 15, 2016",@,Milwaukee Bucks,OT
