Date,Team,Acquired,Relinquished,Notes
2021-04-17,Los Angeles Lakers,Andre Drummond,,activated from IL
2021-04-18,Washington Wizards,,Rui Hachimura,placed on IL with sore left knee
2021-04-18,Oklahoma City Thunder,Aleksej Pokusevski,,activated from IL
2021-04-18,Toronto Raptors,Gary Trent,,activated from IL
2021-04-18,Toronto Raptors,,Pascal Siakam,placed on IL with left shoulder inflammation
2021-04-18,Toronto Raptors,,Fred VanVleet,placed on IL with left hip flexor injury
2021-04-18,Detroit Pistons,,Jerami Grant,placed on IL with bruised left quadricep
2021-04-18,Detroit Pistons,,Cory Joseph,placed on IL with bronchitis
2021-04-18,Indiana Pacers,Myles Turner,,activated from IL
2021-04-18,Detroit Pistons,,Sekou Doumbouya,placed on IL with concussion
2021-04-18,Orlando Magic,,James Ennis,placed on IL with right calf injury
2021-04-18,Sacramento Kings,,Robert Woodard,placed on IL with sore lower back
2021-04-18,Charlotte Hornets,PJ Washington,,activated from IL
2021-04-18,Atlanta Hawks,John Collins,,activated from IL
2021-04-18,Atlanta Hawks,,Danilo Gallinari,placed on IL with sore right foot
2021-04-18,Memphis Grizzlies,,Jonas Valanciunas,placed on IL with concussion
2021-04-18,Los Angeles Clippers,Kawhi Leonard,,activated from IL
2021-04-18,Orlando Magic,Mohamed Bamba,,activated from IL
2021-04-19,Nets,,Nicolas Claxton,placed on IL with NBA health and safety protocols
2021-04-19,Nets,,Reggie Perry,placed on IL with NBA health and safety protocols
2021-04-19,Denver Nuggets,,Monte Morris,placed on IL with strained right hamstring
2021-04-19,Indiana Pacers,,Domantas Sabonis,placed on IL with lower back injury
2021-04-19,Indiana Pacers,Doug McDermott,,activated from IL
2021-04-19,Indiana Pacers,,Myles Turner,placed on IL with right big toe injury (out for season)
2021-04-19,Oklahoma City Thunder,,Luguentz Dort,placed on IL with strained right hip
2021-04-19,Detroit Pistons,Killian Hayes,,activated from IL
2021-04-19,Utah Jazz,Rudy Gobert,,activated from IL
2021-04-19,Indiana Pacers,,Jeremy Lamb,placed on IL with sore left knee (out for season)
2021-04-19,Utah Jazz,Mike Conley,,activated from IL
2021-04-19,Philadelphia 76ers,George Hill,,activated from IL
2021-04-19,Utah Jazz,,Ersan Ilyasova,placed on IL with left hamstring injury
2021-04-19,Memphis Grizzlies,Justise Winslow,,activated from IL
2021-04-19,Memphis Grizzlies,DeAnthony Melton,,activated from IL
2021-04-19,Memphis Grizzlies,Brandon Clarke,,activated from IL
2021-04-19,Memphis Grizzlies,,Dillon Brooks,placed on IL with left thigh injury
2021-04-19,Boston Celtics,Jaylen Brown,,activated from IL
2021-04-19,Boston Celtics,,Kemba Walker,placed on IL with illness
2021-04-19,Milwaukee Bucks,Donte DiVincenzo,,activated from IL
2021-04-19,Philadelphia 76ers,Dwight Howard,,activated from IL
2021-04-19,Philadelphia 76ers,,Ben Simmons,placed on IL with illness
2021-04-19,Utah Jazz,Derrick Favors,,activated from IL
2021-04-20,Toronto Raptors,Pascal Siakam,,activated from IL
2021-04-20,Toronto Raptors,Ogugua Anunoby,,activated from IL
2021-04-20,Toronto Raptors,Fred VanVleet,,activated from IL
2021-04-20,Toronto Raptors,,Rodney Hood,placed on IL with right knee tendinitis
2021-04-20,Toronto Raptors,,Paul Watson,placed on IL with left knee tendinitis (out for season)
2021-04-20,New Orleans Pelicans,,James Johnson,placed on IL with strained right adductor
2021-04-20,Detroit Pistons,Jerami Grant,,activated from IL
2021-04-20,Detroit Pistons,Cory Joseph,,activated from IL
2021-04-20,Charlotte Hornets,Devonte Graham,,activated from IL
2021-04-20,Los Angeles Clippers,,Kawhi Leonard,placed on IL with sore right foot
2021-04-20,Detroit Pistons,Sekou Doumbouya,,activated from IL
2021-04-21,Nets,Reggie Perry,,activated from IL
2021-04-21,Houston Rockets,,Kevin Porter,placed on IL with NBA health and safety protocols
2021-04-21,Detroit Pistons,,Killian Hayes,placed on IL with right hip injury
2021-04-21,Indiana Pacers,,Doug McDermott,placed on IL with sprained left ankle
2021-04-21,Utah Jazz,Ersan Ilyasova,,activated from IL
2021-04-21,Houston Rockets,DJ Augustine,,activated from IL
2021-04-21,Memphis Grizzlies,Dillon Brooks,,activated from IL
2021-04-21,Chicago Bulls,Adam Mokoka,,activated from IL
2021-04-21,Chicago Bulls,,Troy Brown,placed on IL with sprained left ankle (out for season)
2021-04-21,Portland Trailblazers,,Keljin Blevins,placed on IL with NBA health and safety protocols
2021-04-21,Portland Trailblazers,,Derrick Jones,placed on IL with bruised right hip
2021-04-21,Memphis Grizzlies,Jaren Jackson,,activated from IL
2021-04-22,Golden State Warriors,,Damion Lee,placed on IL with NBA health and safety protocols (out for season)
2021-04-22,Detroit Pistons,Killian Hayes,,activated from IL
2021-04-22,Detroit Pistons,,Jerami Grant,placed on IL with bruised left quadricep
2021-04-22,Detroit Pistons,,Cory Joseph,placed on IL with left ankle injury
2021-04-22,Dallas Mavericks,,Maximilian Kleber,placed on IL with bruised lower back
2021-04-22,Orlando Magic,,Terrence Ross,placed on IL with back spasms (out for season)
2021-04-22,Washington Wizards,,Deni Avdija,placed on IL with fractured right ankle (out for season)
2021-04-22,Atlanta Hawks,,Trae Young,placed on IL with sprained left ankle
2021-04-22,Boston Celtics,Kemba Walker,,activated from IL
2021-04-22,Boston Celtics,,Jaylen Brown,placed on IL with bursitis in left shoulder
2021-04-22,Milwaukee Bucks,,Justin Jackson,placed on IL
2021-04-22,Philadelphia 76ers,Tobias Harris,,activated from IL
2021-04-22,Philadelphia 76ers,,Furkan Korkmaz,placed on IL with sprained right ankle
2021-04-22,Los Angeles Lakers,Anthony Davis,,activated from IL
2021-04-23,Golden State Warriors,Eric Paschall,,activated from IL
2021-04-23,Golden State Warriors,,Kent Bazemore,placed on IL with NBA health and safety protocols
2021-04-23,Oklahoma City Thunder,Luguentz Dort,,activated from IL
2021-04-23,Toronto Raptors,,Chris Boucher,placed on IL with sprained MCL in left knee
2021-04-23,Nets,,Alize Johnson,placed on IL with NBA health and safety protocols
2021-04-23,Sacramento Kings,,DeAaron Fox,placed on IL with NBA health and safety protocols (out for season)
2021-04-23,Atlanta Hawks,Danilo Gallinari,,activated from IL
2021-04-23,Boston Celtics,Evan Fournier,,activated from IL
2021-04-23,Boston Celtics,,Kemba Walker,placed on IL with left knee injury
2021-04-23,Cleveland Cavaliers,,Taurean Prince,placed on IL with surgery on left ankle (out for season)
2021-04-23,Portland Trailblazers,placed on,,activated from IL
2021-04-23,Portland Trailblazers,Keljin Blevins,,activated from IL
2021-04-23,Los Angeles Clippers,,Rajon Rondo,placed on IL with right wrist injury
2021-04-24,Detroit Pistons,Cory Joseph,,activated from IL
2021-04-24,New York Knicks,Myles Powell,,activated from IL
2021-04-24,New York Knicks,,Myles Powell,placed on IL with NBA health and safety protocols
2021-04-24,Minnesota Timberwolves,Jaylen Nowell,,activated from IL
2021-04-24,San Antonio Spurs,,Rudy Gay,placed on IL with sore lower back
2021-04-24,Detroit Pistons,Jerami Grant,,activated from IL
2021-04-24,Indiana Pacers,,Goga Bitadze,placed on IL with sprained left ankle
2021-04-24,Indiana Pacers,Doug McDermott,,activated from IL
2021-04-24,Denver Nuggets,,Will Barton,placed on IL with strained right hamstring
2021-04-24,Dallas Mavericks,Maximilian Kleber,,activated from IL
2021-04-24,Dallas Mavericks,,Josh Richardson,placed on IL with tightness in right hamstring
2021-04-24,Memphis Grizzlies,,Jaren Jackson,placed on IL with left knee injury
2021-04-24,Boston Celtics,Jaylen Brown,,activated from IL
2021-04-24,Cleveland Cavaliers,,Collin Sexton,placed on IL with concussion
2021-04-24,Philadelphia 76ers,,Paul Reed,placed on IL with NBA health and safety protocols
2021-04-25,Oklahoma City Thunder,,Luguentz Dort,placed on IL with strained right hip
2021-04-25,Nets,Tyler Johnson,,activated from IL
2021-04-25,Memphis Grizzlies,Jonas Valanciunas,,activated from IL
2021-04-25,Boston Celtics,Kemba Walker,,activated from IL
2021-04-25,Sacramento Kings,Richaun Holmes,,activated from IL
2021-04-25,Milwaukee Bucks,,Rodions Kurucs,placed on IL with biceps injury
2021-04-25,Milwaukee Bucks,,PJ Tucker,placed on IL with sore left ankle
2021-04-25,Cleveland Cavaliers,Damyean Dotson,,activated from IL
2021-04-25,Milwaukee Bucks,Justin Jackson,,activated from IL
2021-04-26,Toronto Raptors,,Gary Trent,placed on IL with bruised left leg
2021-04-26,Atlanta Hawks,Kris Dunn,,activated from IL
2021-04-26,Nets,,Bruce Brown,placed on IL with sore right knee
2021-04-26,New Orleans Pelicans,,Steven Adams,placed on IL with toe injury
2021-04-26,Toronto Raptors,Rodney Hood,,activated from IL
2021-04-26,Houston Rockets,Kevin Porter,,activated from IL
2021-04-26,San Antonio Spurs,Rudy Gay,,activated from IL
2021-04-26,Washington Wizards,,Robin Lopez,placed on IL with sprained left ankle
2021-04-26,Washington Wizards,Rui Hachimura,,activated from IL
2021-04-26,Atlanta Hawks,,Louis Williams,placed on IL with flu
2021-04-26,Houston Rockets,,John Wall,placed on IL with strained right hamstring (out for season)
2021-04-26,Memphis Grizzlies,Jaren Jackson,,activated from IL
2021-04-26,Detroit Pistons,,Josh Jackson,placed on IL with illness
2021-04-26,Los Angeles Clippers,Rajon Rondo,,activated from IL
2021-04-26,Los Angeles Clippers,,Luke Kennard,placed on IL
2021-04-26,Boston Celtics,,Jayson Tatum,placed on IL with left ankle injury
2021-04-26,Cleveland Cavaliers,,Matthew Dellavedova,placed on IL with strained neck (out for season)
2021-04-26,Memphis Grizzlies,,Sean McDermott,placed on IL
2021-04-26,Cleveland Cavaliers,,Larry Nance,placed on IL with fractured right thumb (out for season)
2021-04-26,Cleveland Cavaliers,,Lamar Stevens,placed on IL with concussion (out for season)
2021-04-26,Philadelphia 76ers,Paul Reed,,activated from IL
2021-04-26,Philadelphia 76ers,Furkan Korkmaz,,activated from IL
2021-04-26,Philadelphia 76ers,Ben Simmons,,activated from IL
2021-04-26,Philadelphia 76ers,,Danny Green,placed on IL with left hip injury
2021-04-26,Philadelphia 76ers,,Mike Scott,placed on IL with sore left hip
2021-04-27,Utah Jazz,,Mike Conley,placed on IL with right hamstring injury
2021-04-27,Atlanta Hawks,Louis Williams,,activated from IL
2021-04-27,Boston Celtics,,Kemba Walker,placed on IL with strained left oblique muscle
2021-04-27,Oklahoma City Thunder,Luguentz Dort,,activated from IL
2021-04-27,Milwaukee Bucks,PJ Tucker,,activated from IL
2021-04-27,Milwaukee Bucks,,Axel Toupane,placed on IL with strained right oblique muscle
2021-04-27,Milwaukee Bucks,Rodions Kurucs,,activated from IL
2021-04-28,Golden State Warriors,Kent Bazemore,,activated from IL
2021-04-28,Oklahoma City Thunder,Josh Hall,,activated from IL
2021-04-28,San Antonio Spurs,,Derrick White,placed on IL with sprained right ankle (out for season)
2021-04-28,Detroit Pistons,Josh Jackson,,activated from IL
2021-04-28,Detroit Pistons,,Wayne Ellington,placed on IL with calf injury
2021-04-28,Detroit Pistons,,Jerami Grant,placed on IL with sore right knee
2021-04-28,New Orleans Pelicans,Steven Adams,,activated from IL
2021-04-28,New Orleans Pelicans,James Johnson,,activated from IL
2021-04-28,New York Knicks,Alec Burks,,activated from IL
2021-04-28,Sacramento Kings,,Harrison Barnes,placed on IL with tightness in left adductor (out for season)
2021-04-28,Atlanta Hawks,,Kevin Huerter,placed on IL with sprained left shoulder
2021-04-28,Los Angeles Clippers,Luke Kennard,,activated from IL
2021-04-28,Boston Celtics,Robert Williams,,activated from IL
2021-04-28,Boston Celtics,Jayson Tatum,,activated from IL
2021-04-28,Philadelphia 76ers,Danny Green,,activated from IL
2021-04-28,Philadelphia 76ers,Mike Scott,,activated from IL
2021-04-28,Washington Wizards,Robin Lopez,,activated from IL
2021-04-28,Orlando Magic,James Ennis,,activated from IL
2021-04-29,Toronto Raptors,Jalen Harris,,activated from IL
2021-04-29,Toronto Raptors,,Fred VanVleet,placed on IL with left hip flexor injury
2021-04-29,Oklahoma City Thunder,Gabriel Deck,,activated from IL
2021-04-29,Minnesota Timberwolves,,Jarrett Culver,placed on IL with surgery on right ankle (out for season)
2021-04-29,New Orleans Pelicans,,Steven Adams,placed on IL with toe injury
2021-04-29,Dallas Mavericks,,Luka Doncic,placed on IL with left elbow injury
2021-04-29,Nets,,Kyrie Irving,placed on IL with right groin injury
2021-04-29,Dallas Mavericks,Josh Richardson,,activated from IL
2021-04-29,Memphis Grizzlies,,Jaren Jackson,placed on IL with left knee injury
2021-04-29,Nets,Alize Johnson,,activated from IL
2021-04-30,Oklahoma City Thunder,,Luguentz Dort,placed on IL with strained right hip
2021-04-30,Toronto Raptors,Fred VanVleet,,activated from IL
2021-04-30,Detroit Pistons,,Jahlil Okafor,placed on IL with NBA health and safety protocols
2021-04-30,Indiana Pacers,,JaKarr Sampson,placed on IL with concussion
2021-04-30,Nets,Kyrie Irving,,activated from IL
2021-04-30,Dallas Mavericks,Luka Doncic,,activated from IL
2021-04-30,Los Angeles Lakers,LeBron James,,activated from IL
2021-04-30,Los Angeles Lakers,,Alex Caruso,placed on IL with back spasms
2021-04-30,Atlanta Hawks,Trae Young,,activated from IL
2021-04-30,Sacramento Kings,Marvin Bagley,,activated from IL
2021-04-30,Memphis Grizzlies,Sean McDermott,,activated from IL
2021-04-30,Milwaukee Bucks,,Donte DiVincenzo,placed on IL with toe injury
2021-04-30,Atlanta Hawks,Tony Snell,,activated from IL
2021-04-30,Milwaukee Bucks,,Justin Jackson,placed on IL
2021-04-30,Chicago Bulls,,Cristiano Felicio,placed on IL with illness
2021-04-30,Milwaukee Bucks,,Giannis Antetokounmpo,placed on IL with sprained right ankle
2021-04-30,Cleveland Cavaliers,Collin Sexton,,activated from IL
2021-04-30,Los Angeles Clippers,,Amir Coffey,placed on IL with NBA health and safety protocols
2021-04-30,Memphis Grizzlies,,Grayson Allen,placed on IL with left hand injury
2021-04-30,Chicago Bulls,,Lauri Markkanen,placed on IL with illness
2021-05-01,Dallas Mavericks,,JJ Redick,placed on IL with right heel injury
2021-05-01,Oklahoma City Thunder,,Aleksej Pokusevski,placed on IL with bruised left knee
2021-05-01,Toronto Raptors,,Kyle Lowry,placed on IL
2021-05-01,Indiana Pacers,Domantas Sabonis,,activated from IL
2021-05-01,Denver Nuggets,,Zeke Nnaji,placed on IL with sprained left ankle
2021-05-01,Nets,Bruce Brown,,activated from IL
2021-05-01,Charlotte Hornets,Nate Darling,,activated from IL
2021-05-01,Dallas Mavericks,,Kristaps Porzingis,placed on IL with sore right knee
2021-05-01,Charlotte Hornets,LaMelo Ball,,activated from IL
2021-05-01,Atlanta Hawks,Kevin Huerter,,activated from IL
2021-05-01,Memphis Grizzlies,Jaren Jackson,,activated from IL
2021-05-01,Los Angeles Clippers,Kawhi Leonard,,activated from IL
2021-05-01,Chicago Bulls,Lauri Markkanen,,activated from IL
2021-05-01,Chicago Bulls,,Adam Mokoka,placed on IL
2021-05-01,Milwaukee Bucks,Donte DiVincenzo,,activated from IL
2021-05-01,Charlotte Hornets,Malik Monk,,activated from IL
2021-05-02,Oklahoma City Thunder,Luguentz Dort,,activated from IL
2021-05-02,Oklahoma City Thunder,Aleksej Pokusevski,,activated from IL
2021-05-02,Toronto Raptors,Kyle Lowry,,activated from IL
2021-05-02,Toronto Raptors,,Fred VanVleet,placed on IL with left hip flexor injury
2021-05-02,Nets,Nicolas Claxton,,activated from IL
2021-05-02,Dallas Mavericks,JJ Redick,,activated from IL
2021-05-02,San Antonio Spurs,,Dejounte Murray,placed on IL with sore left knee
2021-05-02,Los Angeles Lakers,Alex Caruso,,activated from IL
2021-05-02,Los Angeles Lakers,,Dennis Schröder,placed on IL with NBA health and safety protocols
2021-05-02,Sacramento Kings,,Chimezie Metu,placed on IL with sore lower back
2021-05-02,Chicago Bulls,Cristiano Felicio,,activated from IL
2021-05-02,Milwaukee Bucks,Giannis Antetokounmpo,,activated from IL
2021-05-02,Dallas Mavericks,,Tim Hardaway,placed on IL with sore right ankle
2021-05-03,San Antonio Spurs,Dejounte Murray,,activated from IL
2021-05-03,Dallas Mavericks,Tim Hardaway,,activated from IL
2021-05-03,Los Angeles Lakers,,LeBron James,placed on IL with sore right ankle
2021-05-03,New York Knicks,,Nerlens Noel,placed on IL with sprained left ankle
2021-05-03,Charlotte Hornets,,Devonte Graham,placed on IL with right knee injury
2021-05-03,Charlotte Hornets,,Cody Martin,placed on IL with sprained left ankle
2021-05-03,Memphis Grizzlies,,Sean McDermott,placed on IL (out for season)
2021-05-03,Chicago Bulls,,Nikola Vucevic,placed on IL with hip injury
2021-05-03,Milwaukee Bucks,,Jeff Teague,placed on IL with strained abdominal
2021-05-03,Memphis Grizzlies,Grayson Allen,,activated from IL
2021-05-04,Detroit Pistons,Jahlil Okafor,,activated from IL
2021-05-04,Oklahoma City Thunder,,Aleksej Pokusevski,placed on IL with bruised left knee
2021-05-04,Toronto Raptors,Fred VanVleet,,activated from IL
2021-05-04,Orlando Magic,Devin Cannady,,activated from IL
2021-05-04,Toronto Raptors,,Ogugua Anunoby,placed on IL with left calf injury (out for season)
2021-05-04,Detroit Pistons,,Josh Jackson,placed on IL with oral surgery
2021-05-04,Memphis Grizzlies,,Jaren Jackson,placed on IL with left knee injury
2021-05-04,Denver Nuggets,,PJ Dozier,placed on IL with strained right adductor (out for season)
2021-05-04,Sacramento Kings,,Tyrese Haliburton,placed on IL with left knee injury (out for season)
2021-05-04,Charlotte Hornets,,Miles Bridges,placed on IL with NBA health and safety protocols
2021-05-04,Los Angeles Clippers,Patrick Beverley,,activated from IL
2021-05-04,Cleveland Cavaliers,,Darius Garland,placed on IL with sprained left ankle
2021-05-04,New Orleans Pelicans,Steven Adams,,activated from IL
2021-05-05,Washington Wizards,,Rui Hachimura,placed on IL with illness
2021-05-05,New Orleans Pelicans,,Brandon Ingram,placed on IL with sprained left ankle (out for season)
2021-05-05,Indiana Pacers,Goga Bitadze,,activated from IL
2021-05-05,Indiana Pacers,,Malcolm Brogdon,placed on IL with sore right hamstring (out for season)
2021-05-05,Orlando Magic,,Chuma Okeke,placed on IL with sprained left ankle (out for season)
2021-05-05,New York Knicks,Nerlens Noel,,activated from IL
2021-05-05,Boston Celtics,Kemba Walker,,activated from IL
2021-05-05,Boston Celtics,,Tristan Thompson,placed on IL with pectoral injury
2021-05-05,Boston Celtics,,Romeo Langford,placed on IL with concussion
2021-05-05,Boston Celtics,,Jaylen Brown,placed on IL with sprained right ankle
2021-05-05,Chicago Bulls,Zach LaVine,,activated from IL
2021-05-05,Milwaukee Bucks,Justin Jackson,,activated from IL
2021-05-05,Milwaukee Bucks,Jeff Teague,,activated from IL
2021-05-05,Milwaukee Bucks,,Khris Middleton,placed on IL with sore right knee
2021-05-06,Toronto Raptors,,Kyle Lowry,placed on IL with back injury
2021-05-06,Detroit Pistons,Wayne Ellington,,activated from IL
2021-05-06,Detroit Pistons,,Killian Hayes,placed on IL with illness
2021-05-06,Los Angeles Lakers,,Talen Horton-Tucker,placed on IL with strained right calf
2021-05-06,Utah Jazz,,Juwan Morgan,placed on IL with right heel injury
2021-05-06,Toronto Raptors,Gary Trent,,activated from IL
2021-05-06,Memphis Grizzlies,,Xavier Tillman,placed on IL with illness
2021-05-06,Memphis Grizzlies,,Grayson Allen,placed on IL with abdominal injury (out for season)
2021-05-06,Chicago Bulls,Nikola Vucevic,,activated from IL
2021-05-06,Milwaukee Bucks,Khris Middleton,,activated from IL
2021-05-06,Memphis Grizzlies,Jaren Jackson,,activated from IL
2021-05-07,Washington Wizards,Rui Hachimura,,activated from IL
2021-05-07,Phoenix Suns,,Cameron Johnson,placed on IL with sprained right wrist
2021-05-07,Houston Rockets,,DJ Wilson,placed on IL with NBA health and safety protocols (out for season)
2021-05-07,Toronto Raptors,,Fred VanVleet,placed on IL with left hip flexor injury (out for season)
2021-05-07,Detroit Pistons,Killian Hayes,,activated from IL
2021-05-07,New Orleans Pelicans,,Zion Williamson,placed on IL with fractured finger (out for season)
2021-05-07,New Orleans Pelicans,,Steven Adams,placed on IL with toe injury (out for season)
2021-05-07,New York Knicks,,Luca Vildoza,placed on IL with NBA health and safety protocols (out for season)
2021-05-07,New York Knicks,,Immanuel Quickley,placed on IL with sprained left ankle
2021-05-07,Orlando Magic,,James Ennis,placed on IL with right calf injury (out for season)
2021-05-07,Sacramento Kings,Chimezie Metu,,activated from IL
2021-05-07,Utah Jazz,Udoka Azubuike,,activated from IL
2021-05-07,Memphis Grizzlies,Xavier Tillman,,activated from IL
2021-05-07,Boston Celtics,Tristan Thompson,,activated from IL
2021-05-07,Boston Celtics,Romeo Langford,,activated from IL
2021-05-07,Boston Celtics,,Robert Williams,placed on IL with turf toe
2021-05-07,Milwaukee Bucks,,Justin Jackson,placed on IL
2021-05-07,Portland Trailblazers,,TJ Leaf,placed on IL with illness
2021-05-07,Philadelphia 76ers,,Furkan Korkmaz,placed on IL with sprained right ankle
2021-05-07,New York Knicks,,Alec Burks,placed on IL with bruised left knee
2021-05-08,Oklahoma City Thunder,,Ty Jerome,placed on IL with strained left calf
2021-05-08,Detroit Pistons,Jerami Grant,,activated from IL
2021-05-08,Portland Trailblazers,TJ Leaf,,activated from IL
2021-05-08,Philadelphia 76ers,,Ben Simmons,placed on IL with back injury
2021-05-08,Philadelphia 76ers,,Seth Curry,placed on IL with left hip flexor injury
2021-05-08,Portland Trailblazers,,Carmelo Anthony,placed on IL with sprained right ankle
2021-05-09,Washington Wizards,,Bradley Beal,placed on IL with strained left hamstring
2021-05-09,Oklahoma City Thunder,Aleksej Pokusevski,,activated from IL
2021-05-09,Oklahoma City Thunder,,Luguentz Dort,placed on IL with patellar tendinitis in right knee (out for season)
2021-05-09,Houston Rockets,,Sterling Brown,placed on IL with facial injury (out for season)
2021-05-09,Detroit Pistons,,Hamidou Diallo,placed on IL with NBA health and safety protocols
2021-05-09,Los Angeles Lakers,Talen Horton-Tucker,,activated from IL
2021-05-09,Sacramento Kings,,Hassan Whiteside,placed on IL with NBA health and safety protocols
2021-05-09,Boston Celtics,Robert Williams,,activated from IL
2021-05-09,Chicago Bulls,,Daniel Theis,placed on IL with bruised right hip
2021-05-09,New Orleans Pelicans,Nickeil Alexander-Walker,,activated from IL
2021-05-10,Oklahoma City Thunder,,Theo Maledon,placed on IL with left foot injury
2021-05-10,Toronto Raptors,,Pascal Siakam,placed on IL with strained left shoulder (out for season)
2021-05-10,Atlanta Hawks,,Tony Snell,placed on IL with right Achilles injury
2021-05-10,Boston Celtics,,Jaylen Brown,placed on IL with left wrist injury (out for season)
2021-05-10,Atlanta Hawks,DeAndre Hunter,,activated from IL
2021-05-10,Philadelphia 76ers,Seth Curry,,activated from IL
2021-05-10,Philadelphia 76ers,Ben Simmons,,activated from IL
2021-05-10,Philadelphia 76ers,,Matisse Thybulle,placed on IL with sore left hand
2021-05-10,Milwaukee Bucks,Justin Jackson,,activated from IL
2021-05-11,Denver Nuggets,Monte Morris,,activated from IL
2021-05-11,Toronto Raptors,Chris Boucher,,activated from IL
2021-05-11,Detroit Pistons,Josh Jackson,,activated from IL
2021-05-11,Detroit Pistons,,Frank Jackson,placed on IL with sprained right ankle (out for season)
2021-05-11,Indiana Pacers,JaKarr Sampson,,activated from IL
2021-05-11,Indiana Pacers,,Edmond Sumner,placed on IL with bruised left knee (out for season)
2021-05-11,Denver Nuggets,Zeke Nnaji,,activated from IL
2021-05-11,Sacramento Kings,Hassan Whiteside,,activated from IL
2021-05-11,Memphis Grizzlies,,Jaren Jackson,placed on IL with left knee injury
2021-05-11,Charlotte Hornets,Devonte Graham,,activated from IL
2021-05-11,Atlanta Hawks,,DeAndre Hunter,placed on IL with right knee injury
2021-05-11,Memphis Grizzlies,,Jonas Valanciunas,placed on IL with sore back
2021-05-11,Boston Celtics,,Robert Williams,placed on IL with turf toe / sprained left toe
2021-05-11,Chicago Bulls,Daniel Theis,,activated from IL
2021-05-11,Portland Trailblazers,Carmelo Anthony,,activated from IL
2021-05-11,Philadelphia 76ers,,Joel Embiid,placed on IL with illness
2021-05-11,Sacramento Kings,,Marvin Bagley,placed on IL with tightness in right groin (out for season)
2021-05-12,Dallas Mavericks,,JJ Redick,placed on IL with right heel injury (out for season)
2021-05-12,Nets,James Harden,,activated from IL
2021-05-12,Nets,,Kyrie Irving,placed on IL with facial injury
2021-05-12,Nets,,Joe Harris,placed on IL with sore left hip / glute muscle injury
2021-05-12,Dallas Mavericks,Kristaps Porzingis,,activated from IL
2021-05-12,Los Angeles Lakers,,Anthony Davis,placed on IL with left adductor injury
2021-05-12,Boston Celtics,,Marcus Smart,placed on IL with bruised right calf (out for season)
2021-05-12,Miami Heat,,Victor Oladipo,placed on IL with right quadricep injury (out for season)
2021-05-12,Atlanta Hawks,Tony Snell,,activated from IL
2021-05-12,Boston Celtics,,Kemba Walker,placed on IL with left knee injury
2021-05-12,Portland Trailblazers,,Nassir Little,placed on IL with back spasms
2021-05-12,Los Angeles Lakers,,Alex Caruso,placed on IL with sore right foot
2021-05-13,Oklahoma City Thunder,Theo Maledon,,activated from IL
2021-05-13,Phoenix Suns,,Deandre Ayton,placed on IL with sore left knee
2021-05-13,San Antonio Spurs,,Luka Samanic,placed on IL with fractured hand (out for season)
2021-05-13,Denver Nuggets,,Monte Morris,placed on IL with right hamstring injury
2021-05-13,New York Knicks,Immanuel Quickley,,activated from IL
2021-05-13,New York Knicks,,Derrick Rose,placed on IL with sprained left ankle
2021-05-13,New York Knicks,Alec Burks,,activated from IL
2021-05-13,Atlanta Hawks,,Tony Snell,placed on IL with right Achilles injury
2021-05-13,Memphis Grizzlies,Jonas Valanciunas,,activated from IL
2021-05-13,Memphis Grizzlies,Jaren Jackson,,activated from IL
2021-05-13,Chicago Bulls,,Daniel Theis,placed on IL with bruised right hip (out for season)
2021-05-13,Philadelphia 76ers,Joel Embiid,,activated from IL
2021-05-13,Philadelphia 76ers,Furkan Korkmaz,,activated from IL
2021-05-13,Atlanta Hawks,DeAndre Hunter,,activated from IL
2021-05-14,Sacramento Kings,Robert Woodard,,activated from IL
2021-05-14,Washington Wizards,,Raulzinho Neto,placed on IL with left hamstring injury (out for season)
2021-05-14,Golden State Warriors,,Kelly Oubre,placed on IL with sore left wrist
2021-05-14,Oklahoma City Thunder,Ty Jerome,,activated from IL
2021-05-14,Oklahoma City Thunder,,Josh Hall,placed on IL with NBA health and safety protocols (out for season)
2021-05-14,Detroit Pistons,Hamidou Diallo,,activated from IL
2021-05-14,Denver Nuggets,Monte Morris,,activated from IL
2021-05-14,Denver Nuggets,,Aaron Gordon,placed on IL with right calf injury
2021-05-14,Sacramento Kings,,Richaun Holmes,placed on IL with sore right knee (out for season)
2021-05-14,Utah Jazz,Mike Conley,,activated from IL
2021-05-14,Utah Jazz,Juwan Morgan,,activated from IL
2021-05-14,Utah Jazz,,Elijah Hughes,placed on IL
2021-05-14,Memphis Grizzlies,,Jaren Jackson,placed on IL with left knee injury
2021-05-14,Memphis Grizzlies,,Ja Morant,placed on IL with sore back
2021-05-14,Los Angeles Clippers,Serge Ibaka,,activated from IL
2021-05-14,Los Angeles Clippers,,Reggie Jackson,placed on IL with left Achilles injury
2021-05-14,Los Angeles Clippers,,Patrick Beverley,placed on IL with left hand injury
2021-05-14,Boston Celtics,,Tristan Thompson,placed on IL with pectoral injury (out for season)
2021-05-14,Boston Celtics,,Kemba Walker,placed on IL with cervical injury
2021-05-14,Cleveland Cavaliers,Darius Garland,,activated from IL
2021-05-15,Houston Rockets,,Khyri Thomas,placed on IL with right Achilles injury (out for season)
2021-05-15,Nets,Kyrie Irving,,activated from IL
2021-05-15,Los Angeles Lakers,LeBron James,,activated from IL
2021-05-15,Los Angeles Lakers,Dennis Schröder,,activated from IL
2021-05-15,Los Angeles Lakers,Anthony Davis,,activated from IL
