Date,Team,Acquired,Relinquished,Notes
2013-12-09,Los Angeles Clippers,,Reggie Bullock,sprained left ankle (DTD)
2013-12-10,Atlanta Hawks,,Gustavo Ayon,sprained left ankle (DTD)
2013-12-10,Los Angeles Lakers,,Jordan Farmar,torn left hamstring (DNP)
2013-12-10,Los Angeles Lakers,,Chris Kaman,back spasms (DNP)
2013-12-10,New York Knicks,,Kenyon Martin,sore left ankle (DNP)
2013-12-10,Boston Celtics,,Kelly Olynyk,sprained right ankle (DNP)
2013-12-10,Chicago Bulls,,Joakim Noah,bruised right thigh (DNP)
2013-12-10,Milwaukee Bucks,,Zaur Pachulia,fractured right foot (DNP)
2013-12-10,Milwaukee Bucks,,Gary Neal,plantar faciitis in left foot (DNP)
2013-12-10,Milwaukee Bucks,,Caron Butler,sore left knee (DNP)
2013-12-10,Chicago Bulls,,Luol Deng,sore left Achilles (DNP)
2013-12-11,Memphis Grizzlies,,Tony Allen,hip injury (DNP)
2013-12-11,Golden State Warriors,,Jermaine ONeal,sprained right wrist (DNP)
2013-12-11,New York Knicks,,Raymond Felton,sore left hamstring (DNP)
2013-12-11,Sacramento Kings,,Rudy Gay,DNP
2013-12-11,Sacramento Kings,,Quincy Acy,DNP
2013-12-11,Sacramento Kings,,Aaron Gray,DNP
2013-12-11,Memphis Grizzlies,,Quincy Pondexter,stress fracture in right foot (DNP)
2013-12-11,Memphis Grizzlies,,Ed Davis,sprained left /right (CBC) ankle (DNP)
2013-12-11,Los Angeles Clippers,,Reggie Bullock,sprained left ankle (DNP)
