Team,Year,Game_num,Date,Away_flag,Opponent,OT_flag
Atlanta Hawks,2015,31,2015-12-23,,Detroit Pistons,
Atlanta Hawks,2015,32,2015-12-26,,New York Knicks,
Atlanta Hawks,2015,33,2015-12-28,@,Indiana Pacers,
Atlanta Hawks,2015,34,2015-12-29,@,Houston Rockets,
Atlanta Hawks,2015,35,2016-01-03,@,New York Knicks,
Atlanta Hawks,2015,36,2016-01-05,,New York Knicks,
Atlanta Hawks,2015,37,2016-01-07,@,Philadelphia 76ers,
Atlanta Hawks,2015,38,2016-01-09,,Chicago Bulls,
Atlanta Hawks,2015,39,2016-01-13,@,Charlotte Hornets,
Atlanta Hawks,2015,40,2016-01-15,@,Milwaukee Bucks,OT
Atlanta Hawks,2015,41,2016-01-16,,Brooklyn Nets,
Atlanta Hawks,2015,42,2016-01-18,,Orlando Magic,
Atlanta Hawks,2015,43,2016-01-20,@,Portland Trail Blazers,
Atlanta Hawks,2015,44,2016-01-21,@,Sacramento Kings,
Atlanta Hawks,2015,45,2016-01-23,@,Phoenix Suns,
Atlanta Hawks,2015,46,2016-01-25,@,Denver Nuggets,
Atlanta Hawks,2015,47,2016-01-27,,Los Angeles Clippers,
Atlanta Hawks,2015,48,2016-01-28,@,Indiana Pacers,
Atlanta Hawks,2015,49,2016-01-31,@,Miami Heat,
Atlanta Hawks,2015,50,2016-02-01,,Dallas Mavericks,
Atlanta Hawks,2015,51,2016-02-03,@,Philadelphia 76ers,
Atlanta Hawks,2015,52,2016-02-05,,Indiana Pacers,
Atlanta Hawks,2015,53,2016-02-07,@,Orlando Magic,
Atlanta Hawks,2015,54,2016-02-08,,Orlando Magic,OT
Atlanta Hawks,2015,55,2016-02-10,@,Chicago Bulls,
Atlanta Hawks,2015,56,2016-02-19,,Miami Heat,
Atlanta Hawks,2015,57,2016-02-20,,Milwaukee Bucks,2OT
Atlanta Hawks,2015,58,2016-02-22,,Golden State Warriors,
Atlanta Hawks,2015,59,2016-02-26,,Chicago Bulls,
Atlanta Hawks,2015,60,2016-02-28,,Charlotte Hornets,
Atlanta Hawks,2015,61,2016-03-01,@,Golden State Warriors,OT
Atlanta Hawks,2015,62,2016-03-04,@,Los Angeles Lakers,
Atlanta Hawks,2015,63,2016-03-05,@,Los Angeles Clippers,
Atlanta Hawks,2015,64,2016-03-08,@,Utah Jazz,
Atlanta Hawks,2015,65,2016-03-10,@,Toronto Raptors,
Atlanta Hawks,2015,66,2016-03-12,,Memphis Grizzlies,
Atlanta Hawks,2015,67,2016-03-13,,Indiana Pacers,
Atlanta Hawks,2015,68,2016-03-16,@,Detroit Pistons,
Atlanta Hawks,2015,69,2016-03-17,,Denver Nuggets,
Atlanta Hawks,2015,70,2016-03-19,,Houston Rockets,
Atlanta Hawks,2015,71,2016-03-21,,Washington Wizards,
Atlanta Hawks,2015,72,2016-03-23,@,Washington Wizards,
Atlanta Hawks,2015,73,2016-03-25,,Milwaukee Bucks,
Atlanta Hawks,2015,74,2016-03-26,@,Detroit Pistons,
Atlanta Hawks,2015,75,2016-03-28,@,Chicago Bulls,
Atlanta Hawks,2015,76,2016-03-30,@,Toronto Raptors,
Atlanta Hawks,2015,77,2016-04-01,,Cleveland Cavaliers,OT
Atlanta Hawks,2015,78,2016-04-05,,Phoenix Suns,
Atlanta Hawks,2015,79,2016-04-07,,Toronto Raptors,
Atlanta Hawks,2015,80,2016-04-09,,Boston Celtics,
Atlanta Hawks,2015,81,2016-04-11,@,Cleveland Cavaliers,
Atlanta Hawks,2015,82,2016-04-13,@,Washington Wizards,
Atlanta Hawks,2015,83,2016-04-16,,Boston Celtics,
Atlanta Hawks,2015,84,2016-04-19,,Boston Celtics,
Atlanta Hawks,2015,85,2016-04-22,@,Boston Celtics,
Atlanta Hawks,2015,86,2016-04-24,@,Boston Celtics,OT
Atlanta Hawks,2015,87,2016-04-26,,Boston Celtics,
Atlanta Hawks,2015,88,2016-04-28,@,Boston Celtics,
Atlanta Hawks,2015,89,2016-05-02,@,Cleveland Cavaliers,
Atlanta Hawks,2015,90,2016-05-04,@,Cleveland Cavaliers,
Atlanta Hawks,2015,91,2016-05-06,,Cleveland Cavaliers,
Atlanta Hawks,2015,92,2016-05-08,,Cleveland Cavaliers,
Atlanta Hawks,2016,1,2016-10-27,,Washington Wizards,
Atlanta Hawks,2016,2,2016-10-29,@,Philadelphia 76ers,
Atlanta Hawks,2016,3,2016-10-31,,Sacramento Kings,
Atlanta Hawks,2016,4,2016-11-02,,Los Angeles Lakers,
Atlanta Hawks,2016,5,2016-11-04,@,Washington Wizards,
Atlanta Hawks,2016,6,2016-11-05,,Houston Rockets,
Atlanta Hawks,2016,7,2016-11-08,@,Cleveland Cavaliers,
Atlanta Hawks,2016,8,2016-11-09,,Chicago Bulls,
Atlanta Hawks,2016,9,2016-11-12,,Philadelphia 76ers,
Atlanta Hawks,2016,10,2016-11-15,@,Miami Heat,
Atlanta Hawks,2016,11,2016-11-16,,Milwaukee Bucks,
Atlanta Hawks,2016,12,2016-11-18,@,Charlotte Hornets,
Atlanta Hawks,2016,13,2016-11-20,@,New York Knicks,
Atlanta Hawks,2016,14,2016-11-22,,New Orleans Pelicans,
Atlanta Hawks,2016,15,2016-11-23,@,Indiana Pacers,
