Year,Season,Player,Pos,Age,Team,G,GS,MPPG
2012,regular,Kawhi Leonard,SF,21,San Antonio Spurs,58,57,31.2
2012,regular,Meyers Leonard,C,20,Portland Trailblazers,69,9,17.5
2012,regular,Jon Leuer,PF-C,23,TOT,28,0,6.7
2012,regular,Jon Leuer,C,23,Cleveland Cavaliers,9,0,10.1
2012,regular,Jon Leuer,PF,23,Memphis Grizzlies,19,0,5.1
2012,regular,Rashard Lewis,PF,33,Miami Heat,55,9,14.4
2012,regular,DeAndre Liggins,SG,24,Oklahoma City Thunder,39,1,7.4
2012,regular,Damian Lillard,PG,22,Portland Trailblazers,82,82,38.6
2012,regular,Jeremy Lin,PG,24,Houston Rockets,82,82,32.2
2012,regular,Shaun Livingston,PG,27,TOT,66,16,22.0
2012,regular,Shaun Livingston,PG,27,Washington Wizards,17,4,18.8
2012,regular,Shaun Livingston,PG,27,Cleveland Cavaliers,49,12,23.2
2012,regular,Brook Lopez,C,24,Brooklyn Nets,74,74,30.4
2012,regular,Robin Lopez,C,24,New Orleans Hornets,82,82,26.0
2012,regular,Kevin Love,PF,24,Minnesota Timberwolves,18,18,34.3
2012,regular,Kyle Lowry,PG,26,Toronto Raptors,68,52,29.7
2012,regular,John Lucas III,PG,30,Toronto Raptors,63,0,13.1
2012,regular,Scott Machado,PG,22,Houston Rockets,6,0,3.5
2012,regular,Shelvin Mack,PG-SG,22,TOT,31,3,13.4
2012,regular,Shelvin Mack,PG,22,Washington Wizards,7,2,20.1
2012,regular,Shelvin Mack,SG,22,Philadelphia 76ers,4,0,1.8
2012,regular,Shelvin Mack,PG,22,Atlanta Hawks,20,1,13.4
2012,regular,Corey Maggette,SF,33,Detroit Pistons,18,0,14.3
2012,regular,Ian Mahinmi,C,26,Indiana Pacers,80,2,16.5
2012,regular,Shawn Marion,PF,34,Dallas Mavericks,67,67,30.0
2012,regular,Kendall Marshall,PG,21,Phoenix Suns,48,3,14.6
2012,regular,Cartier Martin,SF,28,Washington Wizards,41,3,16.9
2012,regular,Kenyon Martin,C,35,New York Knicks,18,11,23.9
2012,regular,Kevin Martin,SG,29,Oklahoma City Thunder,77,0,27.7
2012,regular,Roger Mason,SG,32,New Orleans Hornets,69,13,17.7
2012,regular,Wesley Matthews,SG,26,Portland Trailblazers,69,69,34.8
2012,regular,Jason Maxiell,PF,29,Detroit Pistons,72,71,24.8
2012,regular,Eric Maynor,PG-SG,25,TOT,64,0,15.0
2012,regular,Eric Maynor,PG,25,Oklahoma City Thunder,37,0,10.6
2012,regular,Eric Maynor,SG,25,Portland Trailblazers,27,0,21.2
2012,regular,O.J. Mayo,SG,25,Dallas Mavericks,82,82,35.5
2012,regular,Luc Mbah a Moute,SF,26,Milwaukee Bucks,58,45,22.9
2012,regular,JaVale McGee,C,25,Denver Nuggets,79,0,18.1
2012,regular,Dominic McGuire,SF,27,TOT,26,10,14.9
2012,regular,Dominic McGuire,SF,27,Toronto Raptors,15,9,15.3
2012,regular,Dominic McGuire,SF,27,New Orleans Hornets,9,0,16.1
2012,regular,Dominic McGuire,SF,27,Indiana Pacers,2,1,6.0
2012,regular,Josh McRoberts,PF,25,TOT,67,22,22.2
2012,regular,Josh McRoberts,PF,25,Orlando Magic,41,3,16.7
2012,regular,Josh McRoberts,PF,25,Charlotte Bobcats,26,19,30.8
2012,regular,Jodie Meeks,SG,25,Los Angeles Lakers,78,10,21.3
2012,regular,Fab Melo,C,22,Boston Celtics,6,0,6.0
2012,regular,Khris Middleton,SG,21,Detroit Pistons,27,0,17.6
2012,regular,C.J. Miles,SF,25,Cleveland Cavaliers,65,13,21.0
2012,regular,Darko Milicic,C,27,Boston Celtics,1,0,5.0
2012,regular,Andre Miller,PG,36,Denver Nuggets,82,11,26.2
2012,regular,Darius Miller,SF,22,New Orleans Hornets,52,2,13.3
2012,regular,Mike Miller,SF,32,Miami Heat,59,17,15.3
2012,regular,Quincy Miller,PF,20,Denver Nuggets,7,0,3.7
2012,regular,Patty Mills,PG,24,San Antonio Spurs,58,2,11.3
2012,regular,Paul Millsap,PF,27,Utah Jazz,78,78,30.4
2012,regular,Nazr Mohammed,C,35,Chicago Bulls,63,12,11.0
2012,regular,Greg Monroe,C,22,Detroit Pistons,81,81,33.2
2012,regular,E'Twaun Moore,SG,23,Orlando Magic,75,21,22.4
2012,regular,Darius Morris,PG,22,Los Angeles Lakers,48,17,14.2
2012,regular,Marcus Morris,PF-SF,23,TOT,77,23,19.8
2012,regular,Marcus Morris,PF,23,Houston Rockets,54,17,21.4
2012,regular,Marcus Morris,SF,23,Phoenix Suns,23,6,16.1
2012,regular,Markieff Morris,PF,23,Phoenix Suns,82,32,22.4
2012,regular,Anthony Morrow,SG,27,TOT,41,1,9.3
2012,regular,Anthony Morrow,SG,27,Atlanta Hawks,24,1,12.5
2012,regular,Anthony Morrow,SG,27,Dallas Mavericks,17,0,4.8
2012,regular,Donatas Motiejunas,PF,22,Houston Rockets,44,14,12.2
2012,regular,Arnett Moultrie,PF,22,Philadelphia 76ers,47,0,11.5
2012,regular,Timofey Mozgov,C,26,Denver Nuggets,41,1,8.9
2012,regular,Byron Mullens,PF,23,Charlotte Bobcats,53,41,26.9
2012,regular,Kevin Murphy,SG,22,Utah Jazz,17,0,3.1
